taxid	kingdom	phylum	class	order	family	genus	species
927704		Bacillota	Negativicutes	Selenomonadales	Selenomonadaceae	Pseudoselenomonas	Pseudoselenomonas lactilytica
92860		Ascomycota	Dothideomycetes	Pleosporales			
928852		Candidatus Bathyarchaeota					
929509		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Solitalea	
930120		Bacillota	Bacilli	Caryophanales	Bacillaceae	Oceanobacillus	Oceanobacillus longus
93064		Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas koreensis
930804		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aureitalea	Aureitalea marina
930805		Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halioglobus	Halioglobus japonicus
930979		Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae		
930990		Basidiomycota	Agaricomycetes	Cantharellales	Botryobasidiaceae	Botryobasidium	Botryobasidium botryosum
931		Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Thiobacillaceae	Thiobacillus	Thiobacillus thioparus
931172		Arthropoda	Arachnida	Araneae	Linyphiidae	Oedothorax	Oedothorax gibbosus
93133		Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae		
931626		Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	Acetobacterium woodii
93171		Candidatus Tectimicrobiota	Candidatus Entotheonellia	Candidatus Entotheonellales	Candidatus Entotheonellaceae	Candidatus Entotheonella	
93172		Candidatus Tectimicrobiota	Candidatus Entotheonellia	Candidatus Entotheonellales	Candidatus Entotheonellaceae	Candidatus Entotheonella	Candidatus Entotheonella palauensis
933063		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Dichotomicrobium	Dichotomicrobium thermohalophilum
933084		Basidiomycota	Agaricomycetes	Jaapiales	Jaapiaceae	Jaapia	Jaapia argillacea
933262		Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Desulfosarcina	Desulfosarcina sp. BuS5
