taxid	kingdom	phylum	class	order	family	genus	species	n_sequences
2720446		Cyanobacteriota	Cyanophyceae	Leptolyngbyales	Leptolyngbyaceae	Alkalinema	Alkalinema sp. RU_4_3	1
2720458		Cyanobacteriota	Cyanophyceae	Leptolyngbyales	Leptolyngbyaceae		Leptolyngbyaceae cyanobacterium SM1_3_5	2
2720459		Cyanobacteriota	Cyanophyceae	Leptolyngbyales	Leptolyngbyaceae		Leptolyngbyaceae cyanobacterium SM1_4_3	2
2720474		Cyanobacteriota					Leptolyngbyaceae cyanobacterium SM2_5_2	1
2720482		Cyanobacteriota	Cyanophyceae	Oscillatoriales	Microcoleaceae	Microcoleus	Microcoleus sp. SU_5_3	2
2721160		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Bradyrhizobium	Bradyrhizobium archetypum	1
2721161		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Bradyrhizobium	Bradyrhizobium australiense	1
2721557		Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Salipiger	Salipiger sp. HF18	1
2722791		Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas corticis	1
2723090		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Mucilaginibacter cryoferens	2
2726988		Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas caenipelagi	1
2728837		Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	Ramlibacter agri	1
2729111		Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Microbispora	Microbispora sp. H10949	1
273135		Bacteroidota	Cytophagia	Cytophagales	Amoebophilaceae	Candidatus Cardinium		1
