taxid	kingdom	phylum	class	order	family	genus	species
161398		Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas phenolica
163516		Bacillariophyta	Leptocylindrophyceae	Leptocylindrales	Leptocylindraceae	Leptocylindrus	Leptocylindrus danicus
163714		Arthropoda	Ostracoda	Podocopida	Cytherideidae	Cyprideis	Cyprideis torosa
1644114		Bacillota	Bacilli	Caryophanales	Paenibacillaceae	Brevibacillus	Brevibacillus migulae
1650286		Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Nannochloris	Nannochloris sp. 'desiccata'
1650658		Actinomycetota	Actinomycetes				Actinobacteria bacterium IMCC26256
1652958		Bacillota	Bacilli	Caryophanales	Paenibacillaceae	Paenibacillus	Paenibacillus nasutitermitis
165301		Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Lentzea	
1680591		Cyanobacteriota	Cyanophyceae	Nostocales	Scytonemataceae	Scytonema	Scytonema sp. PCC 10023
170555		Arthropoda	Insecta	Phasmatodea	Timematidae	Timema	Timema monikensis
171436		Pseudomonadota	Alphaproteobacteria	Geminicoccales	Geminicoccaceae	Tistrella	
1716		Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium	
172671			Pinguiophyceae	Pinguiochrysidales	Pinguiochrysidaceae	Pinguiococcus	Pinguiococcus pyrenoidosus
175694		Streptophyta	Magnoliopsida	Lamiales	Acanthaceae	Andrographis	Andrographis paniculata
175774		Chordata	Actinopteri	Siluriformes	Sisoridae	Bagarius	Bagarius yarrelli
1760		Actinomycetota	Actinomycetes				
1768		Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium kansasii
1775166		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Croceitalea	Croceitalea marina
1783257							
1783270							
1783272							
1798277		Pseudomonadota	Gammaproteobacteria				Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_37_34
180195		Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum	Herbaspirillum autotrophicum
1802673		Candidatus Yanofskyibacteriota					Candidatus Yanofskybacteria bacterium RIFCSPHIGHO2_02_FULL_38_22b
1803494		Actinomycetota					Actinobacteria bacterium 13_2_20CM_2_71_6
1817		Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Nocardia	
1817868		Candidatus Handelsmaniibacteriota					Candidatus Handelsmanbacteria bacterium RIFCSPLOWO2_12_FULL_64_10
1822464		Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	
183589		Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Pseudo-nitzschia	Pseudo-nitzschia multistriata
1853224		Rhodothermota	Rhodothermia	Rhodothermales			
186822		Bacillota	Bacilli	Caryophanales	Paenibacillaceae		
1869212		Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae		Chitinophagaceae bacterium
1869227							bacterium
1871037		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae		Flavobacteriaceae bacterium
1872116		Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidisphaera	Acidisphaera sp.
1872627		Myxococcota	Myxococcia	Myxococcales	Archangiaceae	Archangium	Archangium sp.
1872660		Bacteroidota	Saprospiria	Saprospirales	Saprospiraceae	Aureispira	Aureispira sp.
1872709		Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Allorhizocola	Allorhizocola rhizosphaerae
1873484		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Xenorhabdus	Xenorhabdus thuongxuanensis
1873897		Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus sp.
1883		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	
1883427		Actinomycetota	Actinomycetes				Actinomycetes bacterium
188477		Mollusca	Gastropoda		Plakobranchidae	Elysia	Elysia chlorotica
1891229		Pseudomonadota	Gammaproteobacteria	Pseudomonadales			Pseudomonadales bacterium
1891238		Pseudomonadota	Betaproteobacteria	Burkholderiales			Burkholderiales bacterium
1891241		Pseudomonadota	Betaproteobacteria				Betaproteobacteria bacterium
1892254		Cyanobacteriota	Cyanophyceae	Oscillatoriales	Oscillatoriaceae		
1894		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Kitasatospora	Kitasatospora aureofaciens
1898104		Bacteroidota					Bacteroidota bacterium
1898111		Bacteroidota	Flavobacteriia	Flavobacteriales	Cryomorphaceae		Cryomorphaceae bacterium
1898112		Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		Rhodospirillaceae bacterium
