taxid	kingdom	phylum	class	order	family	genus	species
127596		Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	Diaporthe australafricana
1276136		Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium guizhouense
1276532		Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Zymoseptoria	Zymoseptoria tritici
1279043		Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora carrionii
1280523		Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Stachybotrys	Stachybotrys chartarum
128442		Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces pinophilus
1286976		Ascomycota	Sordariomycetes	Togniniales	Togniniaceae	Phaeoacremonium	Phaeoacremonium minimum
1287680		Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Neofusicoccum	Neofusicoccum parvum
1287681		Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Eutypa	Eutypa lata
1290391		Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	Botrytis cinerea
1291518		Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium anisopliae
129788		Mollusca	Bivalvia	Venerida	Veneridae	Ruditapes	Ruditapes philippinarum
1303443		Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia	Periconia digitata
1303715		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium desertorum
1306861		Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum tanaceti
131324		Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Pseudocercospora	
1314669		Ascomycota	Dothideomycetes	Capnodiales	Capnodiaceae	Polychaeton	Polychaeton citri
1314670		Ascomycota	Dothideomycetes	Mytilinidiales	Argynnaceae	Lepidopterella	Lepidopterella palustris
1314674		Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Cylindrobasidium	Cylindrobasidium torrendii
1314773		Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Sodiomyces	Sodiomyces alkalinus
1314776		Basidiomycota	Agaricomycetes	Sistotremastrales	Sistotremastraceae	Sistotremastrum	Sistotremastrum suecicum
1314777		Basidiomycota	Agaricomycetes	Sistotremastrales	Sistotremastraceae	Sertulicium	Sertulicium niveocremeum
1314778		Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Polyporus	Polyporus arcularius
1314779		Ascomycota	Dothideomycetes		Zopfiaceae	Zopfia	Zopfia rhizophila
1314781		Basidiomycota	Agaricomycetes	Auriculariales	Exidiaceae	Exidia	Exidia glandulosa
1314782		Basidiomycota	Agaricomycetes	Gloeophyllales	Gloeophyllaceae	Neolentinus	Neolentinus lepideus
1314783		Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Fomitopsis	Fomitopsis quercina
1314785		Basidiomycota	Agaricomycetes	Polyporales	Laetiporaceae	Laetiporus	Laetiporus sulphureus
1314786		Ascomycota	Dothideomycetes	Mycosphaerellales	Dissoconiaceae	Dissoconium	Dissoconium aciculare
1314787		Ascomycota	Dothideomycetes	Botryosphaeriales	Saccharataceae	Saccharata	Saccharata proteae
1314788		Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma	Lophiostoma macrostomum
1314801		Ascomycota	Dothideomycetes	Pleosporales	Pleomassariaceae	Pleomassaria	Pleomassaria siparia
1314802		Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae	Melanomma	Melanomma pulvis-pyrius
