taxid	kingdom	phylum	class	order	family	genus	species	n_sequences
1280		Bacillota	Bacilli	Caryophanales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	4
128827		Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae			1
1293497		Nitrospinota						1
1294296		Bacteroidota	Flavobacteriia	Flavobacteriales	Luteibaculaceae	Luteibaculum	Luteibaculum oceani	1
1295370		Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Vulcanisaeta	Vulcanisaeta sp. JCM 14467	1
1295609		Thermodesulfobacteriota	Thermodesulfobacteria	Thermodesulfobacteriales	Thermodesulfobacteriaceae	Thermodesulfobacterium	Thermodesulfobacterium geofontis	2
1298598		Bacillota	Bacilli	Caryophanales	Bacillaceae	Gracilibacillus	Gracilibacillus boraciitolerans	1
1298851		Thermosulfidibacterota	Thermosulfidibacteria	Thermosulfidibacterales	Thermosulfidibacteraceae	Thermosulfidibacter	Thermosulfidibacter takaii	1
1298915		Nitrospirota						1
1301		Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus		1
13076		Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Globicatella	Globicatella sanguinis	2
1310416		Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Ferruginibacter	Ferruginibacter yonginensis	1
1313		Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae	1
131567								20
1333713		Bacteroidota	Flavobacteriia	Flavobacteriales	Schleiferiaceae			1
1352348		Actinomycetota	Actinomycetes	Streptosporangiales	Nocardiopsidaceae	Allosalinactinospora	Allosalinactinospora lopnorensis	1
135613		Pseudomonadota	Gammaproteobacteria	Chromatiales				1
136		Spirochaetota	Spirochaetia	Spirochaetales				4
1365365		Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	Janthinobacterium sp. UMAB-60	1
1365924		Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Kibdelosporangium	Kibdelosporangium banguiense	1
1385		Bacillota	Bacilli	Caryophanales				2
1385624		Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Desulfofustis	Desulfofustis sp. PB-SRB1	1
1392389		Bacillota	Clostridia	Eubacteriales		Intestinimonas		1
1403365		Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales				1
1411316		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Pedobacter sp.	2
1411620		Bacteroidota	Cytophagia	Cytophagales	Hymenobacteraceae	Hymenobacter	Hymenobacter humi	1
142182		Gemmatimonadota						4
1424081		Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Dactylosporangium	Dactylosporangium sucinum	1
143067		Methanobacteriota	Methanomicrobia	Methanotrichales	Methanotrichaceae			1
1434110		Methanobacteriota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina horonobensis	1
1435466		Bacillota	Bacilli	Caryophanales	Bacillaceae	Oceanobacillus	Oceanobacillus bengalensis	2
1437183		Streptophyta	Magnoliopsida					1
1450148		Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Micromonospora	Micromonospora globispora	1
1454753		Atribacterota	Atribacteria	Atribacterales	Candidatus Caldatribacteriaceae	Candidatus Caldatribacterium	Candidatus Caldatribacterium saccharofermentans	1
146919		Rhodothermota	Rhodothermia	Rhodothermales	Salinibacteraceae	Salinibacter	Salinibacter ruber	1
1481888		Ciliophora	Heterotrichea	Heterotrichida	Blepharismidae	Blepharisma	Blepharisma stoltei	1
1495039		Thermotogota	Thermotogae	Mesoaciditogales	Mesoaciditogaceae	Mesoaciditoga	Mesoaciditoga lauensis	1
