taxid	kingdom	phylum	class	order	family	genus	species	n_sequences
1895795		Myxococcota	Myxococcia	Myxococcales			Myxococcales bacterium 68-20	1
1895825		Pseudomonadota	Alphaproteobacteria	Rhodospirillales			Rhodospirillales bacterium 69-11	1
1895835		Bacteroidota	Sphingobacteriia	Sphingobacteriales			Sphingobacteriales bacterium 40-81	1
1895847		Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas bacterium	2
1895854		Bacteroidota	Cytophagia	Cytophagales	Cytophagaceae	Spirosoma	Spirosoma sp. 48-14	1
1895928		Chloroflexota	Chloroflexia	Candidatus Chloroheliales			Chloroflexi bacterium 54-19	3
1896974		Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. 43_108	1
1897614		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Maribacter	Maribacter sp.	3
1897633		Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas sp. MSK9-3	1
189774		Chloroflexota						6
189778		Nitrospirota	Nitrospiria	Nitrospirales				2
1898103		Pseudomonadota	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae		Rhodocyclaceae bacterium	2
1898104		Bacteroidota					Bacteroidota bacterium	44
1898111		Bacteroidota	Flavobacteriia	Flavobacteriales	Cryomorphaceae		Cryomorphaceae bacterium	4
1898112		Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		Rhodospirillaceae bacterium	14
1898203		Bacillota	Clostridia	Lachnospirales	Lachnospiraceae		Lachnospiraceae bacterium	2
1898204		Bacillota	Clostridia	Eubacteriales	Clostridiaceae		Clostridiaceae bacterium	2
1898206		Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae		Spirochaetaceae bacterium	1
1898207		Bacillota	Clostridia	Eubacteriales			Clostridiales bacterium	9
1898209		Mycoplasmatota	Mollicutes	Acholeplasmatales	Acholeplasmataceae		Acholeplasmataceae bacterium	1
1898956		Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ottowia	Ottowia sp.	1
1899321		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Paramesorhizobium	Paramesorhizobium salinisoli	1
1899355		Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae		Oceanospirillaceae bacterium	2
190195		Actinomycetota	Actinomycetes	Propionibacteriales	Kribbellaceae	Kribbella	Kribbella antibiotica	1
1902406		Pseudomonadota	Gammaproteobacteria	Thiotrichales	Francisellaceae		Francisellaceae bacterium	1
1902408		Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingorhabdaceae	Sphingorhabdus	Sphingorhabdus sp.	2
1902579		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales		Candidatus Tokpelaia	Candidatus Tokpelaia hoelldobleri	1
1902781		Pseudomonadota	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Agaribacter	Agaribacter flavus	1
1903157		Pseudomonadota	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	Piscinibacter	Piscinibacter sp.	1
1903181		Methanobacteriota	Methanonatronarchaeia	Methanonatronarchaeales	Methanonatronarchaeaceae	Candidatus Methanohalarchaeum	Candidatus Methanohalarchaeum thermophilum	2
1903189		Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Alectoria	Alectoria fallacina	3
1903409		Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae			1
1903704		Bacillota	Bacilli	Caryophanales	Alicyclobacillaceae	Tumebacillus	Tumebacillus avium	1
1903720		Bacillota	Bacilli				Bacilli bacterium	1
1904254		Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	Hydrogenophaga sp.	2
1904413		Basidiomycota	Agaricomycetes	Boletales	Suillaceae	Suillus	Suillus clintonianus	1
1904441		Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae		Paracoccaceae bacterium	15
1904616		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces fodineus	2
1904961		Actinomycetota	Actinomycetes	Streptosporangiales	Thermomonosporaceae	Actinomadura	Actinomadura sp. CNU-125	2
1904967		Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	Pseudonocardia sp. CNS-004	1
1905676		Pseudomonadota	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Glaciecola	Glaciecola sp.	3
1906665							archaeon	16
1906666		Thermoplasmatota	Thermoplasmata				Thermoplasmata archaeon	31
1906667		Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales			Methanomassiliicoccales archaeon	9
1907725		Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Limnohabitans	Limnohabitans sp.	1
1908		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces globisporus	1
1908224		Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingopyxidaceae	Sphingopyxis	Sphingopyxis sp.	4
190892		Pseudomonadota	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Idiomarina	Idiomarina baltica	1
190893		Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio coralliilyticus	1
1909292		Pseudomonadota	Betaproteobacteria	Burkholderiales	Sphaerotilaceae	Rhizobacter	Rhizobacter sp.	1
1909293		Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae		Acetobacteraceae bacterium	3
1909294		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales			Hyphomicrobiales bacterium	13
1909295		Actinomycetota	Thermoleophilia	Solirubrobacterales			Solirubrobacterales bacterium	12
191		Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Azospirillaceae	Azospirillum		4
1911		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces griseus	2
1911175		Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	Amycolatopsis sp. BJA-103	1
1911520		Actinomycetota	Actinomycetes	Actinomycetales			Actinomycetales bacterium	2
1911570		Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Mangrovicoccus	Mangrovicoccus ximenensis	1
1912094		Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Thalassospiraceae	Thalassospira	Thalassospira sp.	1
1912795		Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Boudabousia	Boudabousia tangfeifanii	1
1912891		Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingobiaceae	Sphingobium	Sphingobium sp.	2
1913578		Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingorhabdaceae	Sphingorhabdus	Sphingorhabdus lutea	2
1913637		Mucoromycota						1
191373		Bacillota	Clostridia	Eubacteriales	Desulfotomaculaceae	Pelotomaculum		1
1913961		Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae		Rhizobiaceae bacterium	1
1913988		Pseudomonadota	Alphaproteobacteria				Alphaproteobacteria bacterium	33
1913989		Pseudomonadota	Gammaproteobacteria				Gammaproteobacteria bacterium	109
191411		Chlorobiota	Chlorobiia	Chlorobiales				2
191412		Chlorobiota	Chlorobiia	Chlorobiales	Chlorobiaceae			2
1914233		Planctomycetota	Planctomycetia	Gemmatales	Gemmataceae			2
1914305		Aquificota	Aquificia	Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacterium	Desulfurobacterium indicum	1
1914406		Pseudomonadota	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae		Ectothiorhodospiraceae bacterium WFHF3C12	1
1914756		Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Phenylobacterium deserti	1
1914993		Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	Variovorax sp. E3	1
1915057		Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Salinibacterium	Salinibacterium sp.	1
1915410		Thermoproteota						2
1915509		Methanobacteriota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus	Methanoculleus sp. UBA413	1
191579		Bacteroidota	Flavobacteriia	Flavobacteriales	Crocinitomicaceae	Fluviicola	Fluviicola taffensis	1
1916082		Pseudomonadota	Gammaproteobacteria	Alteromonadales	Alteromonadaceae		Alteromonadaceae bacterium	6
1917215		Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Ferrovibrio	Ferrovibrio sp.	1
1917218		Pseudomonadota	Betaproteobacteria	Rhodocyclales	Azonexaceae	Dechloromonas	Dechloromonas sp.	1
1917477		Methanobacteriota	Methanomicrobia	Methanotrichales	Methanotrichaceae	Methanothrix	Methanosaeta sp. ASM2	1
191768		Myxococcota		Nannocystales	Nannocystaceae	Plesiocystis	Plesiocystis pacifica	4
1917865		Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Sediminibacterium	Sediminibacterium sp.	2
1917967		Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	Ramlibacter sp.	2
1918495		Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium sp. CBMA 234	1
1919085		Actinomycetota					Actinobacteria bacterium QS_5_72_10	1
1919091		Bacteroidota					Bacteroidetes bacterium QH_10_64_37	1
1919096		Bacteroidota					Bacteroidetes bacterium QH_6_63_17	1
1919112		Bacteroidota					Bacteroidetes bacterium SW_10_40_5	1
1919113		Bacteroidota					Bacteroidetes bacterium SW_11_45_7	1
1919134		Cyanobacteriota					Cyanobacteria bacterium QS_8_64_29	1
1919165		Methanobacteriota	Halobacteria	Halobacteriales			Halobacteriales archaeon QH_8_68_33	1
1919227		Pseudomonadota					Proteobacteria bacterium SW_6_67_9	2
1919231		Thermoplasmatota	Thermoplasmata	Thermoplasmatales				2
1919232		Thermoplasmatota	Thermoplasmata	Thermoplasmatales			Thermoplasmatales archaeon SW_10_69_26	3
